"","plot_name","NDVI","year","reserve","treatment","veg_category","site"
"129","HT UNBURN G04 ",0.695427029100862,2020,"Hastings","Unburn","Grassland","4"
"130","HT UNBURN G05 ",0.576097281397282,2020,"Hastings","Unburn","Grassland","5"
"131","HT UNBURN O01 ",0.680950284889977,2020,"Hastings","Unburn","Forest","1"
"132","HT UNBURN O02",0.697724117405319,2020,"Hastings","Unburn","Forest","2"
"133","HT UNBURN O03 ",0.684293458568913,2020,"Hastings","Unburn","Forest","3"
"134","HT UNBURN O04 ",0.718557754186357,2020,"Hastings","Unburn","Forest","4"
"135","HT UNBURN O05 ",0.601248485947326,2020,"Hastings","Unburn","Forest","5"
"136","HT BURN C01 ",0.369120185572658,2021,"Hastings","Burn","Scrub","1"
"137","HT BURN C02",0.401042828280654,2021,"Hastings","Burn","Scrub","2"
"138","HT BURN C03 ",0.423126159542507,2021,"Hastings","Burn","Scrub","3"
"139","HT BURN C04 ",0.314844086879287,2021,"Hastings","Burn","Scrub","4"
"140","HT BURN C05 ",0.335264657408258,2021,"Hastings","Burn","Scrub","5"
"141","HT BURN G01 ",0.295430502393281,2021,"Hastings","Burn","Grassland","1"
"142","HT BURN G02 ",0.29695962607772,2021,"Hastings","Burn","Grassland","2"
"143","HT BURN G03 ",0.400562247367464,2021,"Hastings","Burn","Grassland","3"
"144","HT BURN G04 ",0.411572787170806,2021,"Hastings","Burn","Grassland","4"
"145","HT BURN G05 ",0.657242156579089,2021,"Hastings","Burn","Grassland","5"
"146","HT BURN O01 ",0.522365024181456,2021,"Hastings","Burn","Forest","1"
"147","HT BURN O02 ",0.538315295558789,2021,"Hastings","Burn","Forest","2"
"148","HT BURN O03 ",0.53032982040022,2021,"Hastings","Burn","Forest","3"
"149","HT BURN O04 ",0.571303241566602,2021,"Hastings","Burn","Forest","4"
"150","HT BURN O05 ",0.512994330162468,2021,"Hastings","Burn","Forest","5"
"151","HT UNBURN C01 ",0.445738223438725,2021,"Hastings","Unburn","Scrub","1"
"152","HT UNBURN C02",0.481405386235977,2021,"Hastings","Unburn","Scrub","2"
"153","HT UNBURN C03 ",0.584479491495403,2021,"Hastings","Unburn","Scrub","3"
"154","HT UNBURN C04 ",0.519899256105847,2021,"Hastings","Unburn","Scrub","4"
"155","HT UNBURN C05",0.412665320612848,2021,"Hastings","Unburn","Scrub","5"
"156","HT UNBURN G01 ",0.471175863308051,2021,"Hastings","Unburn","Grassland","1"
"157","HT UNBURN G02 ",0.399589032175826,2021,"Hastings","Unburn","Grassland","2"
"158","HT UNBURN G03 ",0.349885710303046,2021,"Hastings","Unburn","Grassland","3"
"159","HT UNBURN G04 ",0.553176351911961,2021,"Hastings","Unburn","Grassland","4"
"160","HT UNBURN G05 ",0.486225054429201,2021,"Hastings","Unburn","Grassland","5"
"161","HT UNBURN O01 ",0.685988695182657,2021,"Hastings","Unburn","Forest","1"
"162","HT UNBURN O02",0.692488915547676,2021,"Hastings","Unburn","Forest","2"
"163","HT UNBURN O03 ",0.664183410443797,2021,"Hastings","Unburn","Forest","3"
"164","HT UNBURN O04 ",0.756089412815815,2021,"Hastings","Unburn","Forest","4"
"165","HT UNBURN O05 ",0.566287126469722,2021,"Hastings","Unburn","Forest","5"
"166","HT BURN C01 ",0.512865118130031,2022,"Hastings","Burn","Scrub","1"
"167","HT BURN C02",0.503663577312632,2022,"Hastings","Burn","Scrub","2"
"168","HT BURN C03 ",0.437603191031357,2022,"Hastings","Burn","Scrub","3"
"169","HT BURN C04 ",0.546171757017006,2022,"Hastings","Burn","Scrub","4"
"170","HT BURN C05 ",0.433209137905434,2022,"Hastings","Burn","Scrub","5"
"171","HT BURN G01 ",0.233789405991874,2022,"Hastings","Burn","Grassland","1"
"172","HT BURN G02 ",0.24499034982139,2022,"Hastings","Burn","Grassland","2"
"173","HT BURN G03 ",0.302335857687376,2022,"Hastings","Burn","Grassland","3"
"174","HT BURN G04 ",0.301073996844316,2022,"Hastings","Burn","Grassland","4"
"175","HT BURN G05 ",0.451905316798188,2022,"Hastings","Burn","Grassland","5"
"176","HT BURN O01 ",0.535696758729068,2022,"Hastings","Burn","Forest","1"
"177","HT BURN O02 ",0.628115893626188,2022,"Hastings","Burn","Forest","2"
"178","HT BURN O03 ",0.546884996004426,2022,"Hastings","Burn","Forest","3"
"179","HT BURN O04 ",0.569440624534088,2022,"Hastings","Burn","Forest","4"
"180","HT BURN O05 ",0.510081480584196,2022,"Hastings","Burn","Forest","5"
"181","HT UNBURN C01 ",0.467763480522785,2022,"Hastings","Unburn","Scrub","1"
"182","HT UNBURN C02",0.499921911650623,2022,"Hastings","Unburn","Scrub","2"
"183","HT UNBURN C03 ",0.588378217661106,2022,"Hastings","Unburn","Scrub","3"
"184","HT UNBURN C04 ",0.580230831373199,2022,"Hastings","Unburn","Scrub","4"
"185","HT UNBURN C05",0.487723246462753,2022,"Hastings","Unburn","Scrub","5"
"186","HT UNBURN G01 ",0.469310424520263,2022,"Hastings","Unburn","Grassland","1"
"187","HT UNBURN G02 ",0.362249783214017,2022,"Hastings","Unburn","Grassland","2"
"188","HT UNBURN G03 ",0.418014167546413,2022,"Hastings","Unburn","Grassland","3"
"189","HT UNBURN G04 ",0.605706951801809,2022,"Hastings","Unburn","Grassland","4"
"190","HT UNBURN G05 ",0.502457099539972,2022,"Hastings","Unburn","Grassland","5"
"191","HT UNBURN O01 ",0.720501957889096,2022,"Hastings","Unburn","Forest","1"
"192","HT UNBURN O02",0.679468667151399,2022,"Hastings","Unburn","Forest","2"
"193","HT UNBURN O03 ",0.73484144691239,2022,"Hastings","Unburn","Forest","3"
"194","HT UNBURN O04 ",0.756279437562798,2022,"Hastings","Unburn","Forest","4"
"195","HT UNBURN O05 ",0.588127490396366,2022,"Hastings","Unburn","Forest","5"
"196","BC BURN G01 ",0.660851158645276,2020,NA,NA,NA,NA
